cycle_number,Battery_impedance,Rct,Temperature,Capacity_Fade
1,0.015749080237694724,0.020094287557060202,28.210158230771437,100.0
2,0.01759457579337978,0.023295525594911232,25.420699824975244,99.65342640972003
3,0.01756260017229092,0.0231402925205652,25.808143570473067,99.45069385566595
4,0.017583611329513964,0.02429830079573389,29.492770942635396,99.30685281944005
5,0.01692147519331897,0.025941575246646482,28.032145298297948,99.19528104378294
6,0.01710374850990046,0.024331395625902735,25.04598525808315,99.10412026538597
7,0.017062077373391712,0.025122969067217518,25.507357714330162,99.02704492547234
8,0.018811793833229704,0.02642553649898882,28.317508845540278,98.96027922916008
9,0.018399454600822634,0.025080843651147308,25.025307919231093,98.90138771133189
10,0.018718730248586137,0.024836109915474473,25.804040257087493,98.84870745350298
11,0.017439064261389976,0.025665044904338047,27.74366894683293,98.80105236360082
12,0.019424726354111986,0.025453477161338018,28.459475988463467,98.757546675106
13,0.01922983463906238,0.02791899167195079,28.259806297513002,98.71752532126922
14,0.01806373555097181,0.02770247579792377,26.1213465473028,98.68047133519237
15,0.018071700135516414,0.02731631167173569,28.56089610673768,98.6459748994489
16,0.018139397741946648,0.028159559215042717,26.186245437484,98.6137056388801
17,0.01844169782997529,0.02807744291880978,26.62699849079634,98.58339332797189
18,0.01893988462116064,0.026340453692450437,28.732457025590122,98.55481412105192
19,0.01880832901645067,0.028566554953802815,28.248164495236075,98.52778051041679
20,0.01857819055395007,0.027609491272854936,29.24611705247089,98.50213386322301
21,0.019268228227168182,0.028511365340939034,28.288064461501715,98.47773878113829
22,0.018370030174662398,0.028870358806487112,27.841543016677356,98.45447877332084
23,0.018719783512999584,0.02722499885677389,25.46837383914046,98.43225289203542
24,0.018910777516935328,0.02668626343427892,26.838579015297167,98.41097308482603
25,0.019131015793302272,0.027121557137362227,26.326011838408625,98.3905620875659
26,0.01982844846080751,0.027797516441921733,26.219948216895418,98.37095173098926
27,0.01869518443032105,0.029045718029776138,29.86505277376223,98.35208156699784
28,0.019360673387002425,0.029246600770119438,26.9654886233338,98.3338977449124
29,0.019552124967710558,0.026755448051566523,29.460232775885565,98.31635208500677
30,0.01849409820710215,0.02833463667105701,28.155693129986314,98.29940130916893
31,0.019649076908288023,0.02812020741841663,28.97405651770824,98.28300639775742
32,0.01880678415017431,0.027597795237011644,27.51318546552596,98.26713204860013
33,0.018626610747437038,0.027352611224934008,27.884519423131795,98.25174621926675
34,0.02042413159912283,0.02806556656344321,27.46258846909432,98.23681973769192
35,0.020486612127638533,0.029939425234716387,25.97621493899022,98.2223259692553
36,0.02020031363468903,0.028136646672974486,28.612260576307527,98.20824053077195
37,0.019220145450990968,0.028778207690518545,26.40386181220428,98.19454104367789
38,0.018832930387739154,0.029384229196138305,25.12157983215727,98.18120692013682
39,0.020032027699153958,0.028418012099397177,28.22736147953584,98.16821917693518
40,0.019569184441593137,0.030293105156390755,25.885553397035245,98.15556027294303
41,0.018957648536393864,0.03031448601823495,29.70229292176457,98.14321396664785
42,0.01972802343850591,0.02823068612404283,29.769642885012935,98.13116519085831
43,0.018829977157923998,0.029014145749064284,29.57432195110224,98.11939994215322
44,0.020602830438075825,0.02847101419728683,26.850793501277224,98.10790518304087
45,0.019324222452970354,0.02846784646267304,25.077283082644335,98.09666875511483
46,0.02015368596519706,0.02776794363504179,29.641592812938626,98.08567930175546
47,0.01947356975388888,0.029528988205359808,27.140920741586573,98.07492619914497
48,0.019911337053263513,0.029250439091502368,29.83327409521835,98.06439949454605
49,0.019985240856797187,0.027938076849971225,29.818099885446266,98.05408985094468
50,0.019281731916479198,0.028659985403566127,29.2650472773368,98.04398849728592
51,0.02087099488825344,0.030588448923348614,26.47224446034793,98.03408718363784
52,0.020501509365303656,0.028621173109163775,26.925488643009626,98.02437814070929
53,0.020849289796680503,0.028375268443377913,29.255683357584285,98.01485404322395
54,0.020778638747419573,0.02944632637396124,26.584610025781387,98.00550797671787
55,0.02020313314285464,0.030971617732796747,25.847463733430462,97.99633340738376
56,0.020869100160781383,0.0287768691960048,27.78400631229175,97.98732415463243
57,0.01922003627193839,0.030102509177886736,29.680773870803904,97.97847436608272
58,0.01945240873538471,0.030405744867078994,28.480148983374864,97.9697784947268
59,0.019167992021726796,0.028867987519788637,27.850305850446823,97.96123127804715
60,0.01974500522374863,0.03037333817027978,25.48588246885384,97.95282771888894
61,0.019888228443552272,0.029325097126504385,28.07503613349585,97.94456306791335
62,0.019669832448592883,0.030151186261870924,29.950269250521316,97.93643280747746
63,0.020800609744695393,0.03018685858506575,25.70042007618262,97.92843263680423
64,0.01987238973674685,0.02992509021894362,27.591648261818683,97.92055845832016
65,0.019736256289270396,0.0286196438499545,29.386865359639778,97.91280636505219
66,0.020275046908342923,0.030885216970820566,28.703843088771023,97.90517262898679
67,0.01948654106934049,0.029371725433697142,28.48507870497634,97.89765369030452
68,0.020823901666684186,0.02899857094155178,28.512420419935545,97.89024614741194
69,0.019383207791956802,0.028590538433858812,26.797455756098778,97.88294674770137
70,0.02122226911525039,0.030269669313663445,26.467959221322467,97.87575237897532
71,0.02080716941563463,0.030558052839609478,29.046805777392567,97.86866006147935
72,0.0196740974820844,0.028603095724815678,29.050566973395902,97.86166694049197
73,0.019301503675395595,0.030117198057194625,29.33536159290052,97.85477027942581
74,0.020934987950113837,0.029287617512002158,29.566202762782357,97.84796745339791
75,0.020731202801231544,0.03057049459830097,27.55671199430469,97.84125594323184
76,0.020788747676368305,0.029184565967587638,27.507581473435998,97.83463332985683
77,0.020886346115225576,0.030760424058014768,28.991475894833876,97.82809728907316
78,0.019504798130157774,0.029873623692280794,28.249819653888824,97.82164558665521
79,0.020086379309555567,0.03154908567114425,28.509834386288517,97.81527607376648
80,0.019613764753724137,0.029176616101785745,28.978963347180503,97.80898668266306
81,0.021120656006423627,0.02981209736249565,29.45002670908783,97.80277542266379
82,0.02065331550091937,0.029153859058250273,26.68997578425768,97.79664037636788
83,0.020080636657501896,0.031611762070428887,26.87791476319972,97.7905796961017
84,0.019557933499415363,0.03149365165782957,25.469909699204344,97.78459160057834
85,0.02006461589992164,0.029659127396126098,27.89140070498087,97.77867437175483
86,0.020104713940307002,0.03088864673060955,25.17971136898371,97.77282635187325
87,0.02092512047533071,0.03138348283791281,27.3279900906623,97.7670459406727
88,0.020752451757188633,0.030620276063754802,27.713223173537884,97.7613315927609
89,0.02126306185488479,0.0305662244745323,26.43270626064142,97.75568181513393
